"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 27 04:14:13 UTC 2024","Sat Jan 27 04:14:18 UTC 2024","4527","","Funcionalidade: US004 - Catálogo de Produtos","","Funcionalidade: US004 - Catálogo de Produtos","CT2 - Deve abrir Produto da lista","CT2 - Deve abrir Produto da lista",""
"passed","Sat Jan 27 04:14:22 UTC 2024","Sat Jan 27 04:14:25 UTC 2024","3433","","Funcionalidade: US004 - Catálogo de Produtos","","Funcionalidade: US004 - Catálogo de Produtos","CT4 - Deve listar Produtos de uma Categoria em ordem alfabética","CT4 - Deve listar Produtos de uma Categoria em ordem alfabética",""
"passed","Sat Jan 27 04:14:09 UTC 2024","Sat Jan 27 04:14:13 UTC 2024","4125","","Funcionalidade: US004 - Catálogo de Produtos","","Funcionalidade: US004 - Catálogo de Produtos","CT1 - Deve realizar a busca pelo Produto Stellar Solar Jacket","CT1 - Deve realizar a busca pelo Produto Stellar Solar Jacket",""
"passed","Sat Jan 27 04:14:18 UTC 2024","Sat Jan 27 04:14:22 UTC 2024","3633","","Funcionalidade: US004 - Catálogo de Produtos","","Funcionalidade: US004 - Catálogo de Produtos","CT3 - Deve filtrar por Categoria","CT3 - Deve filtrar por Categoria",""
